k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,sigma_center_min,sigma_scan_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
5,0.2,0.21000000000000002,0.05,0.060000000000000005,0.09713408547991176,1.0920164833920782,0.20539149422939904,0.20371397362515895,0.20371397362515895,0.7515292306995638,0.05000000000000003,0.15371397362515893,True
5,0.2,0.21000000000000002,0.060000000000000005,0.07,0.09615995812703479,1.106797181058934,0.2065604307267242,0.20486443425040052,0.20486443425040052,-0.7496304425350612,0.05000000000000003,0.15486443425040047,True
5,0.2,0.21000000000000002,0.07,0.08000000000000002,0.09507213875620674,1.1236102527122118,0.20788177516235795,0.20616476234646763,0.20616476234646763,0.752051613359936,0.050000000000000044,0.1561647623464676,True
5,0.2,0.21000000000000002,0.08000000000000002,0.09000000000000001,0.09388306555465303,1.1423659658795868,0.20934003700461437,0.20759957954726485,0.20759957954726485,-0.7518776215749768,0.05000000000000001,0.15759957954726483,True
5,0.2,0.21000000000000002,0.09000000000000001,0.1,0.09260524638075412,1.1629703349613016,0.210928820094974,0.20916260717627239,0.20916260717627239,0.7524067033668931,0.05000000000000001,0.15916260717627237,True
5,0.2,0.21000000000000002,0.1,0.11000000000000001,0.09125095914263998,1.18532695911297,0.21263349779576912,0.2108393390968779,0.2108393390968779,0.7499583361365267,0.050000000000000044,0.16083933909687786,True
5,0.2,0.21000000000000002,0.11000000000000001,0.12000000000000001,0.08983201482598543,1.2093386622447828,0.2144399897369636,0.21261581640915767,0.21261581640915767,-0.7515594110560632,0.05000000000000001,0.16261581640915765,True
5,0.21000000000000002,0.22000000000000003,0.05,0.060000000000000005,0.11063393862822304,1.1401754250991385,0.19997857238897448,0.1982408531076006,0.1982408531076006,-0.7958754308692568,0.05000000000000003,0.14824085310760055,True
5,0.21000000000000002,0.22000000000000003,0.060000000000000005,0.07,0.10938640490294735,1.1543396380615196,0.20137762974293427,0.19962220519535734,0.19962220519535734,0.7969627445999123,0.05000000000000003,0.1496222051953573,True
5,0.21000000000000002,0.22000000000000003,0.07,0.08000000000000002,0.10800241023605789,1.1704699910719627,0.2029405785212433,0.20116499103240332,0.20116499103240332,-0.795463195000299,0.050000000000000044,0.15116499103240327,True
5,0.21000000000000002,0.22000000000000003,0.08000000000000002,0.09000000000000001,0.10650000304317053,1.1884864324004716,0.20466062354922465,0.20286251550872403,0.20286251550872403,0.7947637539012606,0.05000000000000001,0.152862515508724,True
5,0.21000000000000002,0.22000000000000003,0.09000000000000001,0.1,0.10489685306869023,1.2083045973594575,0.2065150895139258,0.20469220876722646,0.20469220876722646,-0.7947760055609043,0.05000000000000001,0.15469220876722645,True
5,0.21000000000000002,0.22000000000000003,0.1,0.11000000000000001,0.1032098314356927,1.2298373876248845,0.20848776876990507,0.20663797203537396,0.20663797203537396,-0.7954125958483754,0.050000000000000044,0.1566379720353739,True
5,0.21000000000000002,0.22000000000000003,0.11000000000000001,0.12000000000000001,0.10145471669305062,1.252996408614167,0.21056693706991303,0.2086881915591453,0.2086881915591453,0.7965880965655088,0.05000000000000001,0.1586881915591453,True
5,0.22000000000000003,0.23000000000000004,0.05,0.060000000000000005,0.12624235382440768,1.1884864324004714,0.1926917905695514,0.19089368252905078,0.19089368252905078,-0.8415145629542757,0.05000000000000003,0.14089368252905077,True
5,0.22000000000000003,0.23000000000000004,0.060000000000000005,0.07,0.12459548129083964,1.2020815280171309,0.19442925221934287,0.19261415030932144,0.19261415030932144,-0.8422072862499359,0.05000000000000003,0.1426141503093214,True
5,0.22000000000000003,0.23000000000000004,0.07,0.08000000000000002,0.12278655453590176,1.2175795661885922,0.1963528267581198,0.19451835230038403,0.19451835230038403,-0.8401893016429691,0.050000000000000044,0.14451835230038398,True
5,0.22000000000000003,0.23000000000000004,0.08000000000000002,0.09000000000000001,0.12084278932942874,1.2349089035228482,0.19844471923756257,0.19658858310815897,0.19658858310815897,0.8426858027492166,0.05000000000000001,0.14658858310815895,True
